,CatBoost_TreeSHAP,CatBoost_native,LightGBM_gain,XGBoost_gain,RF_impurity,RF_permutation,GAM_deviance_drop
depth_m,0.559744062969417,0.5485022099205841,0.9523750359754336,0.9304308681939519,0.9663309369243495,0.9646386411617597,0.5918011260547175
temp_degC,0.2687612089345946,0.20384558390245555,0.02967766353845786,0.031668250833820265,0.013808481265258615,0.029023614147977595,0.2950374198312916
psal_psu,0.09854606703830018,0.0566568178474289,0.0027206954116682646,0.005521015027887463,0.002990762498136822,0.002360597505573509,0.06365026582170445
chla_mg_m3,0.007678439160255712,0.021838100479099697,0.001265595039952595,0.0024439113764646884,0.0012827608287262304,0.0004051214898349802,0.006879263401447706
bbp700_m-1,0.011067370101176026,0.016893222373397358,0.001814950075827471,0.00472573862493605,0.002499307555091772,0.0004325951048722558,0.010573662514297212
mld_m,0.0044476481554899154,0.010849612742493341,0.0011886361093821365,0.002953291527731935,0.0013454052545220597,0.0,0.0027154246580805893
n2_per_s2,0.010745491542730263,0.008874439936399739,0.0005542114739220795,0.001934707827247993,0.000565728048060632,0.0002064962563273512,0.0018469863679347993
oni,0.021450130265743904,0.06664808083295534,0.0052637204180004515,0.009714772397206833,0.00573187566012074,0.0016394376076581017,0.021643982792576785
dmi,0.01755958183229224,0.06589193196518602,0.005139491957355507,0.010607444190752876,0.005444741965733734,0.0012934967259964558,0.005851868557949346
