model,test_R2,test_MAE_umol_kg
CatBoost,0.9850052643919315,3.9217155398504913
LightGBM,0.985287809963031,3.7644641095021902
XGBoost,0.9845225820818599,3.809359026444132
RandomForest,0.9867424584986659,3.5899799903075698
GAM,0.9551972995962366,7.2632023869706694
