,CatBoost_TreeSHAP,CatBoost_native,LightGBM_gain,XGBoost_gain,RF_impurity,RF_permutation,GAM_deviance_drop
CatBoost_TreeSHAP,1.0,0.8666666666666667,0.9,0.8666666666666667,0.8833333333333333,0.9833333333333333,0.8833333333333333
CatBoost_native,0.8666666666666667,1.0,0.9833333333333333,0.9333333333333332,0.9500000000000001,0.9166666666666666,0.8499999999999999
LightGBM_gain,0.9,0.9833333333333333,1.0,0.9666666666666667,0.9833333333333333,0.9333333333333332,0.8666666666666667
XGBoost_gain,0.8666666666666667,0.9333333333333332,0.9666666666666667,1.0,0.9833333333333333,0.8833333333333333,0.7833333333333333
RF_impurity,0.8833333333333333,0.9500000000000001,0.9833333333333333,0.9833333333333333,1.0,0.9,0.8333333333333333
RF_permutation,0.9833333333333333,0.9166666666666666,0.9333333333333332,0.8833333333333333,0.9,1.0,0.9333333333333332
GAM_deviance_drop,0.8833333333333333,0.8499999999999999,0.8666666666666667,0.7833333333333333,0.8333333333333333,0.9333333333333332,1.0
